"bic_de","name","zip","city","code","bic","country:id"
"65370075","Deutsche Bank","72425","Albstadt, Württ","Deutsche Bank Albstadt","DEUTDESS653","base.de"
"65370075","Deutsche Bank","72302","Balingen","Deutsche Bank Balingen","DEUTDESS655","base.de"
"65380003","Commerzbank vormals Dresdner Bank","72421","Albstadt, Württ","Commerzbank Albstadt","DRESDEFF653","base.de"
"65390120","Volksbank Ebingen","72424","Albstadt, Württ","Volksbank Ebingen","GENODES1EBI","base.de"
"65391210","Volksbank Balingen","72311","Balingen","Volksbank Balingen","GENODES1BAL","base.de"
"65392030","Volksbank Tailfingen","72440","Albstadt, Württ","Volksbank Tailfingen","GENODES1TAI","base.de"
"65440087","Commerzbank","88400","Biberach an der Riß","Commerzbank Biberach Riß","COBADEFF654","base.de"
"65450070","Kreissparkasse Biberach","88400","Biberach an der Riß","Kr Spk Biberach","SBCRDE66XXX","base.de"
"65461878","Raiffeisenbank Risstal","88445","Warthausen an der Riß","Raiffbk Risstal","GENODES1WAR","base.de"
"65462231","Raiffeisenbank Illertal","88453","Erolzheim, Kr Biberach an der Riß","Raiffeisenbank Illertal","GENODES1ERO","base.de"
"65490130","Volksbank Ulm-Biberach","88388","Biberach an der Riß","Volksbank Biberach","GENODES1VBC","base.de"
"65491320","Volksbank Laupheim","88471","Laupheim","Volksbank Laupheim","GENODES1VBL","base.de"
"65491510","Volksbank-Raiffeisenbank Riedlingen","88499","Riedlingen, Württ","VB-Raiffbk Riedlingen","GENODES1VRR","base.de"
"66000000","Bundesbank","76231","Karlsruhe, Baden","BBk Karlsruhe","MARKDEF1660","base.de"
"66010075","Postbank","76127","Karlsruhe, Baden","Postbank Karlsruhe","PBNKDEFF660","base.de"
"66010111","SEB","77652","Offenburg","SEB Offenburg","ESSEDE51661","base.de"
"66010111","SEB","76133","Karlsruhe, Baden","SEB Karlsruhe","ESSEDE5F660","base.de"
"66010200","Deutsche Bausparkasse Badenia","76114","Karlsruhe, Baden","Deutsche Bauspk Badenia","BBSPDE6KXXX","base.de"
"66010700","Landeskreditbank Baden-Württemberg Förderbank","76113","Karlsruhe, Baden","L-Bank","LKBWDE6KXXX","base.de"
"66020020","Baden-Württembergische Bank","76005","Karlsruhe, Baden","BW Bank Karlsruhe","SOLADEST663","base.de"
"66020150","UniCredit Bank - HypoVereinsbank Ndl 145 Kruh","85609","Aschheim","UniCredit exHypo Ndl145Kruh","HYVEDEM1076","base.de"
"66020286","UniCredit Bank - HypoVereinsbank","76003","Karlsruhe, Baden","UniCredit Bank-HypoVereinbk","HYVEDEMM475","base.de"
"66020286","UniCredit Bank - HypoVereinsbank","76481","Baden-Baden","UniCredit Bank-HypoVereinbk","HYVEDEMM662","base.de"
"66020286","UniCredit Bank - HypoVereinsbank","75108","Pforzheim","UniCredit Bank-HypoVereinbk","HYVEDEMM667","base.de"
"66020500","Bank für Sozialwirtschaft","76003","Karlsruhe, Baden","Bank für Sozialwirtschaft","BFSWDE33KRL","base.de"
"66030600","Isbank Fil Karlsruhe","76133","Karlsruhe, Baden","Isbank Karlsruhe","ISBKDEFXKRL","base.de"
